date,hospitalBedsRequired,hospitalBedCapacity,ICUBedsInUse,ICUBedCapacity,ventilatorsInUse,ventilatorCapacity,RtIndicator,RtIndicatorCI90,cumulativeDeaths,cumulativeInfected,currentInfected,currentSusceptible,currentExposed,cumulativePositiveTests,cumulativeNegativeTests,fips_char,fips
2020-05-27,0,186,0,8,0,15,0.6112498475,0.3778036264,54,12385,441,138132,196,815,,09013,9013
2020-05-28,0,186,0,8,0,15,0.5931595286,0.4292138732,55,12464,431,138058,191,822,,09013,9013
2020-05-29,0,186,0,8,0,15,0.581240524,0.4615221069,55,12541,421,137985,187,827,,09013,9013
2020-05-30,0,186,0,8,0,15,0.5749114484,0.4979901698,55,12617,412,137914,182,833,,09013,9013
2020-05-31,0,186,0,8,0,15,0.5738036248,0.5502714951,56,12690,402,137844,178,836,,09013,9013
2020-06-01,0,186,0,8,0,15,0.5767668014,0.5782836132,56,12762,393,137777,174,768,,09013,9013
2020-06-02,0,186,0,8,0,15,0.5831074093,0.6053207508,56,12833,384,137710,170,848,,09013,9013
2020-06-03,0,186,0,8,0,15,0.5917167118,0.6201559674,57,12901,375,137646,166,856,,09013,9013
2020-06-04,0,186,0,8,0,15,0.6015588881,0.6346352839,57,12968,366,137583,162,859,,09013,9013
2020-06-05,0,186,0,8,0,15,0.6120724848,0.6431472753,57,13034,357,137521,158,859,,09013,9013
2020-06-06,0,186,0,8,0,15,0.6225790591,0.6632082993,58,13098,349,137461,154,864,,09013,9013
2020-06-07,0,186,0,8,0,15,0.6324199794,0.6719144757,58,13160,341,137402,151,864,,09013,9013
2020-06-08,0,186,0,8,0,15,0.6415706078,0.6865934249,58,13221,333,137345,147,863,,09013,9013
2020-06-09,0,186,0,8,0,15,0.6503291387,0.7013855629,59,13280,325,137289,144,873,,09013,9013
2020-06-10,0,186,0,8,0,15,0.6582943994,0.7164066983,59,13338,317,137235,140,810,,09013,9013
2020-06-11,0,186,0,8,0,15,0.6661988129,0.725671896,59,13395,310,137181,137,814,,09013,9013
2020-06-12,0,186,0,8,0,15,0.6743966062,0.7463994077,59,13450,302,137129,133,815,,09013,9013
2020-06-13,0,186,0,8,0,15,0.6833840363,0.7553519655,60,13504,295,137079,130,814,,09013,9013
2020-06-14,0,186,0,8,0,15,0.693652129,0.7697083305,60,13557,288,137029,127,888,,09013,9013
2020-06-15,0,186,0,8,0,15,0.7057265689,0.7835432481,60,13608,281,136981,124,888,,09013,9013
2020-06-16,0,186,0,8,0,15,0.7198245296,0.7967940255,61,13658,275,136934,121,888,,09013,9013
2020-06-17,0,186,0,8,0,15,0.7361348824,0.8267266483,61,13707,268,136888,118,889,,09013,9013
2020-06-18,0,186,0,8,0,15,0.7547192586,0.8444558118,61,13755,262,136843,115,892,,09013,9013
2020-06-19,0,186,0,8,0,15,0.7726261753,0.8508335355,61,13801,255,136799,112,893,,09013,9013
2020-06-20,0,186,0,8,0,15,0.7919849471,0.8683391503,61,13847,249,136757,110,895,,09013,9013
2020-06-21,0,186,0,8,0,15,0.8124151062,0.8913089848,62,13891,243,136715,107,895,,09013,9013
2020-06-22,0,186,0,8,0,15,0.8334983486,0.9083167877,62,13934,237,136674,104,895,,09013,9013
2020-06-23,0,186,0,8,0,15,0.854811826,0.9194846249,62,13976,232,136635,102,898,,09013,9013
2020-06-24,0,186,0,8,0,15,0.8761104668,0.9191097395,62,14018,226,136596,99,898,,09013,9013
2020-06-25,0,186,0,8,0,15,0.8968654315,0.9246653027,63,14058,220,136558,97,899,,09013,9013
2020-06-26,0,186,0,8,0,15,0.9169841041,0.9130840395,63,14097,215,136522,95,904,,09013,9013
2020-06-27,0,186,0,8,0,15,0.9359036221,0.8960754397,63,14135,210,136486,92,906,,09013,9013
2020-06-28,0,186,0,8,0,15,0.9537470978,0.8793774665,63,14172,205,136451,90,910,,09013,9013
2020-06-29,0,186,0,8,0,15,0.9704958978,0.8687690018,63,14209,200,136416,88,909,,09013,9013
2020-06-30,0,186,0,8,0,15,0.9859659862,0.8527561665,63,14244,195,136383,86,909,,09013,9013
2020-07-01,0,186,0,8,0,15,,,64,14279,190,136351,83,,,09013,9013
2020-07-02,0,186,0,8,0,15,,,64,14313,186,136318,82,,,09013,9013
2020-07-03,0,186,0,8,0,15,,,64,14346,182,136284,82,,,09013,9013
2020-07-04,0,186,0,8,0,15,,,64,14380,179,136249,83,,,09013,9013
2020-07-05,0,186,0,8,0,15,,,64,14415,177,136213,85,,,09013,9013
2020-07-06,0,186,0,8,0,15,,,64,14450,176,136175,88,,,09013,9013
2020-07-07,0,186,0,8,0,15,,,65,14487,177,136135,91,,,09013,9013
2020-07-08,0,186,0,8,0,15,,,65,14525,178,136093,95,,,09013,9013
2020-07-09,0,186,0,8,0,15,,,65,14565,181,136049,99,,,09013,9013
2020-07-10,0,186,0,8,0,15,,,65,14607,185,136002,104,,,09013,9013
2020-07-11,0,186,0,8,0,15,,,65,14651,191,135952,110,,,09013,9013
2020-07-12,0,186,0,8,0,15,,,65,14697,198,135899,117,,,09013,9013
2020-07-13,0,186,0,8,0,15,,,66,14747,206,135841,125,,,09013,9013
2020-07-14,0,186,0,8,0,15,,,66,14801,216,135778,134,,,09013,9013
2020-07-15,0,186,0,8,0,15,,,66,14858,228,135711,145,,,09013,9013
2020-07-16,0,186,0,8,0,15,,,66,14919,241,135638,156,,,09013,9013
2020-07-17,0,186,0,8,0,15,,,66,14985,256,135561,167,,,09013,9013
2020-07-18,0,186,0,8,0,15,,,66,15055,272,135480,178,,,09013,9013
2020-07-19,0,186,0,8,0,15,,,66,15130,290,135393,190,,,09013,9013
2020-07-20,0,186,0,8,0,15,,,67,15211,309,135300,202,,,09013,9013
2020-07-21,0,186,0,8,0,15,,,67,15296,329,135202,215,,,09013,9013
2020-07-22,0,186,0,8,0,15,,,67,15387,350,135097,229,,,09013,9013
2020-07-23,0,186,0,8,0,15,,,67,15483,373,134986,244,,,09013,9013
2020-07-24,0,186,0,8,0,15,,,67,15586,397,134868,259,,,09013,9013
2020-07-25,0,186,0,8,0,15,,,68,15695,422,134742,276,,,09013,9013
2020-07-26,0,186,0,8,0,15,,,68,15812,450,134608,293,,,09013,9013
2020-07-27,0,186,0,8,0,15,,,68,15935,478,134466,312,,,09013,9013
2020-07-28,0,186,0,8,0,15,,,68,16067,509,134315,332,,,09013,9013
2020-07-29,0,186,0,8,0,15,,,69,16206,541,134154,353,,,09013,9013
2020-07-30,0,186,0,8,0,15,,,69,16355,576,133983,375,,,09013,9013
2020-07-31,0,186,0,8,0,15,,,69,16513,612,133802,398,,,09013,9013
2020-08-01,0,186,0,8,0,15,,,69,16680,650,133610,423,,,09013,9013
2020-08-02,0,186,0,8,0,15,,,70,16858,691,133406,449,,,09013,9013
2020-08-03,0,186,0,8,0,15,,,70,17047,734,133189,476,,,09013,9013
2020-08-04,0,186,0,8,0,15,,,70,17248,780,132959,506,,,09013,9013
2020-08-05,0,186,0,8,0,15,,,71,17461,828,132716,536,,,09013,9013
2020-08-06,0,186,0,8,0,15,,,71,17686,879,132458,569,,,09013,9013
2020-08-07,0,186,0,8,0,15,,,72,17925,933,132185,603,,,09013,9013
2020-08-08,0,186,0,8,0,15,,,72,18179,990,131896,639,,,09013,9013
2020-08-09,0,186,0,8,0,15,,,73,18447,1050,131589,676,,,09013,9013
2020-08-10,0,186,0,8,0,15,,,73,18731,1113,131266,716,,,09013,9013
2020-08-11,0,186,0,8,0,15,,,74,19032,1179,130924,757,,,09013,9013
2020-08-12,0,186,0,8,0,15,,,74,19350,1249,130562,801,,,09013,9013
2020-08-13,0,186,0,8,0,15,,,75,19686,1322,130180,846,,,09013,9013
2020-08-14,0,186,0,8,0,15,,,76,20041,1399,129778,894,,,09013,9013
2020-08-15,0,186,0,8,0,15,,,76,20416,1480,129353,944,,,09013,9013
2020-08-16,1,186,0,8,0,15,,,77,20812,1565,128905,996,,,09013,9013
2020-08-17,1,186,0,8,0,15,,,78,21229,1653,128434,1050,,,09013,9013
2020-08-18,1,186,0,8,0,15,,,79,21669,1746,127938,1106,,,09013,9013
2020-08-19,1,186,0,8,0,15,,,81,22132,1842,127416,1165,,,09013,9013
2020-08-20,1,186,0,8,0,15,,,82,22620,1943,126868,1225,,,09013,9013
2020-08-21,1,186,0,8,0,15,,,83,23133,2048,126292,1288,,,09013,9013
2020-08-22,1,186,0,8,0,15,,,85,23671,2157,125689,1353,,,09013,9013
2020-08-23,1,186,0,8,0,15,,,86,24237,2270,125057,1419,,,09013,9013
2020-08-24,1,186,0,8,0,15,,,88,24831,2387,124395,1487,,,09013,9013
2020-08-25,1,186,0,8,0,15,,,89,25452,2508,123704,1557,,,09013,9013
2020-08-26,1,186,0,8,0,15,,,91,26102,2633,122982,1630,,,09013,9013
2020-08-27,1,186,0,8,0,15,,,93,26781,2761,122229,1703,,,09013,9013
2020-08-28,2,186,0,8,0,15,,,95,27491,2894,121444,1778,,,09013,9013
2020-08-29,2,186,0,8,0,15,,,97,28232,3029,120628,1854,,,09013,9013
2020-08-30,2,186,0,8,0,15,,,99,29003,3168,119780,1930,,,09013,9013
2020-08-31,2,186,0,8,0,15,,,102,29806,3309,118899,2007,,,09013,9013
2020-09-01,2,186,0,8,0,15,,,104,30641,3453,117987,2085,,,09013,9013
2020-09-02,2,186,0,8,0,15,,,107,31507,3598,117044,2163,,,09013,9013
2020-09-03,2,186,1,8,0,15,,,110,32404,3746,116069,2240,,,09013,9013
2020-09-04,2,186,1,8,0,15,,,112,33333,3893,115064,2316,,,09013,9013
2020-09-05,3,186,1,8,0,15,,,115,34292,4041,114030,2391,,,09013,9013
2020-09-06,3,186,1,8,0,15,,,118,35281,4190,112966,2466,,,09013,9013
2020-09-07,3,186,1,8,0,15,,,122,36302,4339,111873,2538,,,09013,9013
2020-09-08,3,186,1,8,0,15,,,125,37351,4487,110754,2608,,,09013,9013
2020-09-09,3,186,1,8,0,15,,,129,38428,4632,109610,2675,,,09013,9013
2020-09-10,3,186,1,8,0,15,,,132,39532,4775,108441,2740,,,09013,9013
2020-09-11,3,186,1,8,0,15,,,136,40662,4915,107251,2800,,,09013,9013
2020-09-12,4,186,1,8,0,15,,,140,41815,5051,106041,2857,,,09013,9013
2020-09-13,4,186,1,8,0,15,,,144,42990,5181,104812,2910,,,09013,9013
2020-09-14,4,186,1,8,0,15,,,149,44186,5306,103568,2959,,,09013,9013
2020-09-15,4,186,1,8,0,15,,,153,45403,5426,102307,3002,,,09013,9013
2020-09-16,4,186,1,8,0,15,,,157,46632,5537,101041,3040,,,09013,9013
2020-09-17,4,186,1,8,0,15,,,162,47878,5642,99762,3073,,,09013,9013
2020-09-18,4,186,1,8,0,15,,,167,49137,5738,98476,3100,,,09013,9013
2020-09-19,5,186,1,8,1,15,,,172,50406,5825,97187,3121,,,09013,9013
2020-09-20,5,186,1,8,1,15,,,177,51681,5903,95896,3135,,,09013,9013
2020-09-21,5,186,2,8,1,15,,,182,52962,5970,94607,3144,,,09013,9013
2020-09-22,5,186,2,8,1,15,,,188,54245,6028,93321,3147,,,09013,9013
2020-09-23,5,186,2,8,1,15,,,193,55527,6074,92043,3143,,,09013,9013
2020-09-24,5,186,2,8,1,15,,,199,56807,6109,90773,3133,,,09013,9013
2020-09-25,5,186,2,8,1,15,,,204,58081,6133,89515,3117,,,09013,9013
