date,region,index,mean,median,lower_80,upper_80,infections,test_adjusted_positive,test_adjusted_positive_raw,positive,tests,new_tests,new_cases,new_deaths
2020-03-17,CT,19,2.06973067835814,2.06582674074806,1.90549674813521,2.21040853906428,324.896692513078,34.4298903833934,25.1788559980103,15,15,15,15,0
2020-03-18,CT,20,1.96008097883254,1.95724240027925,1.80748669357444,2.09489791329226,384.935885590092,44.0592270545484,45.3219407964185,27,27,27,27,0
2020-03-19,CT,21,1.85857895017254,1.85137130671182,1.721018911599,1.99369178666294,450.557804025775,56.1026089086099,47.0005311962859,28,507,507,28,1
2020-03-20,CT,22,1.75815736523103,1.75563291363039,1.62039519733564,1.8887171857872,520.83249306472,70.9826361212064,164.501859187001,98,98,98,98,2
2020-03-21,CT,23,1.66587472583506,1.66509276448195,1.51841982816904,1.77308159962108,594.731733538083,89.1390264224593,0,0,1502,1502,0,1
2020-03-22,CT,24,1.58045890332341,1.57627185725693,1.46337277466019,1.69831040574619,670.872332612811,111.019207945523,48.6791215961532,29,800,800,29,1
2020-03-23,CT,25,1.50268560253097,1.49804412614107,1.38203725424841,1.61784153636748,747.687712768532,137.060487093808,322.289356774532,192,1400,1400,192,5
2020-03-24,CT,26,1.43092575231297,1.42728697082773,1.3156212381984,1.53711448587659,823.69446309174,167.598975718766,340.753851173073,203,800,800,203,2
2020-03-25,CT,27,1.36387223952089,1.36205585424412,1.26052219887084,1.47444075140965,897.475078939325,202.902905096098,431.39773276591,257,598,598,257,7
2020-03-26,CT,28,1.29997863725292,1.29957794191027,1.19937689520711,1.40728092264192,967.643697769609,243.116555950691,229.966884781827,137,739,739,137,2
2020-03-27,CT,29,1.2447820911533,1.24006467485358,1.14257895488317,1.33515177624071,1032.78783048989,288.232534249973,468.326721562991,279,1763,1763,279,6
2020-03-28,CT,30,1.19178513173288,1.18997467114492,1.09626252367292,1.27736030811181,1091.4740410578,338.053792765265,0,0,0,0,0,0
2020-03-29,CT,31,1.14475593945448,1.14233205589788,1.05964838073621,1.23103307685349,1142.82259849716,392.219807115319,721.095386497714,702,3500,3500,702,7
2020-03-30,CT,32,1.10123399940988,1.09743020501605,1.0157442770261,1.1786788870232,1186.12701847458,450.176842359731,769.640164020721,578,2700,2700,578,2
2020-03-31,CT,33,1.06161656318719,1.05871357326203,0.97500819287861,1.1300287233272,1220.8796557868,511.239039420489,934.974852726115,557,1557,1557,557,33
2020-04-01,CT,34,1.02577569612242,1.02361969782762,0.942688734723075,1.10267765552924,1246.91283205225,574.568580596121,720.115281543094,429,443,443,429,16
2020-04-02,CT,35,0.994662778012523,0.992897613693397,0.918077476697419,1.07271709485015,1264.2113663552,639.23441055047,448.183636764583,267,1700,1700,267,27
2020-04-03,CT,36,0.966117011884093,0.964510328287881,0.895466296398383,1.0457140422765,1272.99624556288,704.202220585145,1829.66353585541,1090,1715,1715,1090,19
2020-04-04,CT,37,0.940428066959637,0.940005920622192,0.865163766539666,1.005153500419,1273.84485559129,768.408187791673,607.649724751982,362,2014,2014,362,34
2020-04-05,CT,38,0.91490787652836,0.911673025847313,0.833020400746139,0.976194567516878,1267.46955174571,830.780995107747,669.757569547074,399,1241,1241,399,24
2020-04-06,CT,39,0.891403380817469,0.8909608765118,0.823990754518744,0.959364946167013,1254.52837118211,890.298923333043,1295.57882160263,1231,3416,3416,1231,17
